Catalog #,Species,Personal ID,Latitude,Longitude,County,State,Prop of dorsum red,Prop of dorsum black,SVL (cm),TL (cm)
113866,C. coccinea (East),Cc347,30.4051,-81.6499,Duval,Florida,0.434586466,0.420030075,33.25,36.396
44188,C. coccinea (East),Cc195,30.18,-84.66,Wakulla,Florida,0.464716527,0.365339438,42.001633,47.95689987
113873,C. coccinea (East),Cc344,30.297,-81.9234,Duval,Florida,0.316220068,0.504446978,35.08,41.292
113874,C. coccinea (East),Cc345,30.297,-81.9234,Duval,Florida,0.408179303,0.385420596,31.812,37.382
113872,C. coccinea (East),Cc346,30.297,-81.9234,Duval,Florida,0.444577013,0.406397364,35.202,41.009
2108,C. coccinea (East),Cc764,30.16,-85.66,Bay,Florida,0.464585275,0.29232681,38.628,44.291
24057,C. coccinea (East),Cc551,30.23,-84.69,Wakulla,Florida,0.559950737,0.273055156,34.103,39.404
113843,C. coccinea (East),Cc348,30.36291,-81.80693,Duval,Florida,0.420904079,0.439316428,45.35,52.551
74468,C. coccinea (East),Cc315,30.174945,-85.623249,Bay,Florida,0.446612783,0.392879932,37.612,43.715
105402,C. coccinea (East),Cc442,30.106578,-83.889964,Taylor,Florida,0.482747814,0.37597543,31.909,37.123
19516,C. coccinea (East),Cc92,30.14,-84.18,Wakulla,Florida,0.36286889,0.453938155,32.60986846,37.45529363
114045,C. coccinea (East),Cc447,30.15112,-84.24137,Wakulla,Florida,0.438260478,0.291882605,35.504,41.28
113972,C. coccinea (East),Cc368,30.1444,-83.9449,Taylor,Florida,0.266189909,0.51022459,42.789,48.771
44187,C. coccinea (East),Cc197,30.35,-84.84,Liberty,Florida,0.487213821,0.345329492,44.27053397,52.07249343
24058,C. coccinea (East),Cc555,30.3,-84.71,Wakulla,Florida,0.424004975,0.384680763,48.24,55.869
158703,C. coccinea (East),Cc474,30.33527,-84.78326,Liberty,Florida,0.405664072,0.424291379,40.854,46.695
40388,C. coccinea (East),Cc194,30.44,-84.97,Liberty,Florida,0.274922677,0.533710322,35.41951546,40.35593814
9666,C. coccinea (East),Cc329,30.4259,-85.1416,Calhoun,Florida,0.425837131,0.391004557,25.235,28.858
113831,C. coccinea (East),Cc338,30.243865,-82.570534,Columbia,Florida,0.239621243,0.57130341,29.676,35.227
113833,C. coccinea (East),Cc339,30.249995,-82.531529,Columbia,Florida,0.199519855,0.607546068,30.824,35.843
113829,C. coccinea (East),Cc340,30.249995,-82.531529,Columbia,Florida,0.457220867,0.375288141,44.683,51.068
113834,C. coccinea (East),Cc337,30.267262,-82.489493,Columbia,Florida,0.352182482,0.485710973,34.502,40.347
16701,C. coccinea (East),Cc874,30.7431433,-81.5560145,Camden,Georgia,0.46756739,0.379418902,15.247,17.722
31187,C. coccinea (East),Cc136,30.9,-81.43,Camden,Georgia,0.485102379,0.366281654,35.55769412,40.90055798
203087,C. coccinea (East),Cc232,30.52491,-84.96981,Liberty,Florida,0.373131549,0.379777683,35.80457624,41.23612153
64467,C. coccinea (East),Cc645,33.63,-79.38,Georgetown,South Carolina,0.46272805,0.360853763,28.064,32.64
